Subject,Predicate,Object
Moana,HAS_GENRE,Comedy
Comedy,GENRE_OF,Moana
Moana,HAS_GENRE,Family
Family,GENRE_OF,Moana
Moana,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,Moana
Moana,HAS_CAST,Dwayne Johnson
Dwayne Johnson,CAST_IN,Moana
Signs,HAS_GENRE,Drama
Drama,GENRE_OF,Signs
Signs,HAS_GENRE,Thriller
Thriller,GENRE_OF,Signs
Signs,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,Signs
Signs,HAS_GENRE,Mystery
Mystery,GENRE_OF,Signs
Signs,HAS_CAST,Mel Gibson
Mel Gibson,CAST_IN,Signs
Signs,HAS_CAST,Joaquin Phoenix
Joaquin Phoenix,CAST_IN,Signs
Signs,HAS_CAST,Abigail Breslin
Abigail Breslin,CAST_IN,Signs
Signs,HAS_DIRECTOR,M. Night Shyamalan
M. Night Shyamalan,DIRECTED,Signs
Signs,HAS_WRITER,M. Night Shyamalan
M. Night Shyamalan,WROTE,Signs
Beyond the Valley of the Dolls,HAS_GENRE,Comedy
Comedy,GENRE_OF,Beyond the Valley of the Dolls
Beyond the Valley of the Dolls,HAS_GENRE,Drama
Drama,GENRE_OF,Beyond the Valley of the Dolls
Beyond the Valley of the Dolls,HAS_GENRE,Music
Music,GENRE_OF,Beyond the Valley of the Dolls
Beastly,HAS_GENRE,Drama
Drama,GENRE_OF,Beastly
Beastly,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,Beastly
Beastly,HAS_GENRE,Romance
Romance,GENRE_OF,Beastly
Beastly,HAS_CAST,Neil Patrick Harris
Neil Patrick Harris,CAST_IN,Beastly
Victoria,HAS_GENRE,Crime
Crime,GENRE_OF,Victoria
Victoria,HAS_GENRE,Thriller
Thriller,GENRE_OF,Victoria
Victoria,HAS_GENRE,Romance
Romance,GENRE_OF,Victoria
The Duel,HAS_GENRE,Western
Western,GENRE_OF,The Duel
The Duel,HAS_GENRE,Drama
Drama,GENRE_OF,The Duel
The Duel,HAS_CAST,Woody Harrelson
Woody Harrelson,CAST_IN,The Duel
American Ninja 2: The Confrontation,HAS_GENRE,Action
Action,GENRE_OF,American Ninja 2: The Confrontation
Earth to Echo,HAS_GENRE,Family
Family,GENRE_OF,Earth to Echo
Earth to Echo,HAS_GENRE,Adventure
Adventure,GENRE_OF,Earth to Echo
Earth to Echo,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,Earth to Echo
Amélie,HAS_GENRE,Comedy
Comedy,GENRE_OF,Amélie
Amélie,HAS_GENRE,Romance
Romance,GENRE_OF,Amélie
Born Free,HAS_GENRE,Adventure
Adventure,GENRE_OF,Born Free
Son in Law,HAS_GENRE,Comedy
Comedy,GENRE_OF,Son in Law
Son in Law,HAS_GENRE,Drama
Drama,GENRE_OF,Son in Law
Son in Law,HAS_GENRE,Romance
Romance,GENRE_OF,Son in Law
Son in Law,HAS_CAST,Pauly Shore
Pauly Shore,CAST_IN,Son in Law
Killer Klowns from Outer Space,HAS_GENRE,Comedy
Comedy,GENRE_OF,Killer Klowns from Outer Space
Killer Klowns from Outer Space,HAS_GENRE,Horror
Horror,GENRE_OF,Killer Klowns from Outer Space
Killer Klowns from Outer Space,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,Killer Klowns from Outer Space
Holiday Inn,HAS_GENRE,Comedy
Comedy,GENRE_OF,Holiday Inn
Holiday Inn,HAS_GENRE,Drama
Drama,GENRE_OF,Holiday Inn
Holiday Inn,HAS_GENRE,Romance
Romance,GENRE_OF,Holiday Inn
Holiday Inn,HAS_CAST,Bing Crosby
Bing Crosby,CAST_IN,Holiday Inn
Holiday Inn,HAS_CAST,Fred Astaire
Fred Astaire,CAST_IN,Holiday Inn
Dracula Untold,HAS_GENRE,Horror
Horror,GENRE_OF,Dracula Untold
Dracula Untold,HAS_GENRE,Action
Action,GENRE_OF,Dracula Untold
Dracula Untold,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,Dracula Untold
Dracula Untold,HAS_CAST,Art Parkinson
Art Parkinson,CAST_IN,Dracula Untold
Tom and Jerry: The Fast and the Furry,HAS_GENRE,Family
Family,GENRE_OF,Tom and Jerry: The Fast and the Furry
Tom and Jerry: The Fast and the Furry,HAS_GENRE,Animation
Animation,GENRE_OF,Tom and Jerry: The Fast and the Furry
Tom and Jerry: The Fast and the Furry,HAS_GENRE,Comedy
Comedy,GENRE_OF,Tom and Jerry: The Fast and the Furry
Tom and Jerry: The Fast and the Furry,HAS_GENRE,Action
Action,GENRE_OF,Tom and Jerry: The Fast and the Furry
Tom and Jerry: The Fast and the Furry,HAS_GENRE,Adventure
Adventure,GENRE_OF,Tom and Jerry: The Fast and the Furry
Shanghai Knights,HAS_GENRE,Action
Action,GENRE_OF,Shanghai Knights
Shanghai Knights,HAS_GENRE,Adventure
Adventure,GENRE_OF,Shanghai Knights
Shanghai Knights,HAS_GENRE,Comedy
Comedy,GENRE_OF,Shanghai Knights
Shanghai Knights,HAS_GENRE,Western
Western,GENRE_OF,Shanghai Knights
Shanghai Knights,HAS_CAST,Jackie Chan
Jackie Chan,CAST_IN,Shanghai Knights
Shanghai Knights,HAS_CAST,Owen Wilson
Owen Wilson,CAST_IN,Shanghai Knights
Shanghai Knights,HAS_CAST,Donnie Yen
Donnie Yen,CAST_IN,Shanghai Knights
Dirty Dancing: Havana Nights,HAS_GENRE,Drama
Drama,GENRE_OF,Dirty Dancing: Havana Nights
Dirty Dancing: Havana Nights,HAS_GENRE,Romance
Romance,GENRE_OF,Dirty Dancing: Havana Nights
Ghost in the Shell: Stand Alone Complex - Solid State Society,HAS_GENRE,Animation
Animation,GENRE_OF,Ghost in the Shell: Stand Alone Complex - Solid State Society
Ghost in the Shell: Stand Alone Complex - Solid State Society,HAS_GENRE,Action
Action,GENRE_OF,Ghost in the Shell: Stand Alone Complex - Solid State Society
Ghost in the Shell: Stand Alone Complex - Solid State Society,HAS_GENRE,Thriller
Thriller,GENRE_OF,Ghost in the Shell: Stand Alone Complex - Solid State Society
Ghost in the Shell: Stand Alone Complex - Solid State Society,HAS_GENRE,Crime
Crime,GENRE_OF,Ghost in the Shell: Stand Alone Complex - Solid State Society
Ghost in the Shell: Stand Alone Complex - Solid State Society,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,Ghost in the Shell: Stand Alone Complex - Solid State Society
Chasing Mavericks,HAS_GENRE,Drama
Drama,GENRE_OF,Chasing Mavericks
Chasing Mavericks,HAS_CAST,Gerard Butler
Gerard Butler,CAST_IN,Chasing Mavericks
Sophie's Choice,HAS_GENRE,Drama
Drama,GENRE_OF,Sophie's Choice
Sophie's Choice,HAS_GENRE,Romance
Romance,GENRE_OF,Sophie's Choice
Sophie's Choice,HAS_GENRE,War
War,GENRE_OF,Sophie's Choice
Sophie's Choice,HAS_CAST,Meryl Streep
Meryl Streep,CAST_IN,Sophie's Choice
Sophie's Choice,HAS_CAST,Kevin Kline
Kevin Kline,CAST_IN,Sophie's Choice
Secondhand Lions,HAS_GENRE,Family
Family,GENRE_OF,Secondhand Lions
Secondhand Lions,HAS_GENRE,Comedy
Comedy,GENRE_OF,Secondhand Lions
Secondhand Lions,HAS_CAST,Michael Caine
Michael Caine,CAST_IN,Secondhand Lions
Secondhand Lions,HAS_CAST,Haley Joel Osment
Haley Joel Osment,CAST_IN,Secondhand Lions
Rio 2,HAS_GENRE,Animation
Animation,GENRE_OF,Rio 2
Rio 2,HAS_GENRE,Adventure
Adventure,GENRE_OF,Rio 2
Rio 2,HAS_GENRE,Comedy
Comedy,GENRE_OF,Rio 2
Rio 2,HAS_GENRE,Family
Family,GENRE_OF,Rio 2
Rio 2,HAS_CAST,Jesse Eisenberg
Jesse Eisenberg,CAST_IN,Rio 2
Rio 2,HAS_CAST,Anne Hathaway
Anne Hathaway,CAST_IN,Rio 2
Rio 2,HAS_CAST,Jamie Foxx
Jamie Foxx,CAST_IN,Rio 2
Rio 2,HAS_CAST,Leslie Mann
Leslie Mann,CAST_IN,Rio 2
Places in the Heart,HAS_GENRE,Drama
Drama,GENRE_OF,Places in the Heart
Places in the Heart,HAS_CAST,Sally Field
Sally Field,CAST_IN,Places in the Heart
Places in the Heart,HAS_CAST,Danny Glover
Danny Glover,CAST_IN,Places in the Heart
Places in the Heart,HAS_CAST,Ed Harris
Ed Harris,CAST_IN,Places in the Heart
The Incident,HAS_GENRE,Horror
Horror,GENRE_OF,The Incident
The Incident,HAS_GENRE,Thriller
Thriller,GENRE_OF,The Incident
Police Story 2,HAS_GENRE,misc
misc,GENRE_OF,Police Story 2
Not Fade Away,HAS_GENRE,Drama
Drama,GENRE_OF,Not Fade Away
Not Fade Away,HAS_DIRECTOR,David Chase
David Chase,DIRECTED,Not Fade Away
Not Fade Away,HAS_WRITER,David Chase
David Chase,WROTE,Not Fade Away
In the Mood for Love,HAS_GENRE,Drama
Drama,GENRE_OF,In the Mood for Love
In the Mood for Love,HAS_GENRE,Romance
Romance,GENRE_OF,In the Mood for Love
Kaizoku Sentai Gokaiger the Movie: The Flying Ghost Ship,HAS_GENRE,Action
Action,GENRE_OF,Kaizoku Sentai Gokaiger the Movie: The Flying Ghost Ship
Kaizoku Sentai Gokaiger the Movie: The Flying Ghost Ship,HAS_GENRE,Adventure
Adventure,GENRE_OF,Kaizoku Sentai Gokaiger the Movie: The Flying Ghost Ship
Kaizoku Sentai Gokaiger the Movie: The Flying Ghost Ship,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,Kaizoku Sentai Gokaiger the Movie: The Flying Ghost Ship
Kaizoku Sentai Gokaiger the Movie: The Flying Ghost Ship,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,Kaizoku Sentai Gokaiger the Movie: The Flying Ghost Ship
Kaizoku Sentai Gokaiger the Movie: The Flying Ghost Ship,HAS_GENRE,Horror
Horror,GENRE_OF,Kaizoku Sentai Gokaiger the Movie: The Flying Ghost Ship
To Live and Die in L.A.,HAS_GENRE,Crime
Crime,GENRE_OF,To Live and Die in L.A.
To Live and Die in L.A.,HAS_GENRE,Thriller
Thriller,GENRE_OF,To Live and Die in L.A.
To Live and Die in L.A.,HAS_GENRE,Action
Action,GENRE_OF,To Live and Die in L.A.
To Live and Die in L.A.,HAS_CAST,Willem Dafoe
Willem Dafoe,CAST_IN,To Live and Die in L.A.
The Young Guns,HAS_GENRE,Western
Western,GENRE_OF,The Young Guns
Secret Window,HAS_GENRE,Mystery
Mystery,GENRE_OF,Secret Window
Secret Window,HAS_GENRE,Thriller
Thriller,GENRE_OF,Secret Window
Secret Window,HAS_CAST,Johnny Depp
Johnny Depp,CAST_IN,Secret Window
"Ladybird, Ladybird",HAS_GENRE,Drama
Drama,GENRE_OF,"Ladybird, Ladybird"
Robot Stories,HAS_GENRE,Drama
Drama,GENRE_OF,Robot Stories
Robot Stories,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,Robot Stories
Robot Stories,HAS_GENRE,Romance
Romance,GENRE_OF,Robot Stories
Amelia,HAS_GENRE,Adventure
Adventure,GENRE_OF,Amelia
Amelia,HAS_GENRE,Drama
Drama,GENRE_OF,Amelia
Amelia,HAS_CAST,Hilary Swank
Hilary Swank,CAST_IN,Amelia
Amelia,HAS_CAST,Richard Gere
Richard Gere,CAST_IN,Amelia
21,HAS_GENRE,Drama
Drama,GENRE_OF,21
21,HAS_GENRE,Crime
Crime,GENRE_OF,21
21,HAS_CAST,Jim Sturgess
Jim Sturgess,CAST_IN,21
21,HAS_CAST,Kevin Spacey
Kevin Spacey,CAST_IN,21
21,HAS_CAST,Kate Bosworth
Kate Bosworth,CAST_IN,21
The Rocky Horror Picture Show,HAS_GENRE,Comedy
Comedy,GENRE_OF,The Rocky Horror Picture Show
The Rocky Horror Picture Show,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,The Rocky Horror Picture Show
The Rocky Horror Picture Show,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,The Rocky Horror Picture Show
The Rocky Horror Picture Show,HAS_GENRE,Horror
Horror,GENRE_OF,The Rocky Horror Picture Show
The Rocky Horror Picture Show,HAS_CAST,Tim Curry
Tim Curry,CAST_IN,The Rocky Horror Picture Show
The Rocky Horror Picture Show,HAS_CAST,Susan Sarandon
Susan Sarandon,CAST_IN,The Rocky Horror Picture Show
Curse of Chucky,HAS_GENRE,Horror
Horror,GENRE_OF,Curse of Chucky
Curse of Chucky,HAS_GENRE,Thriller
Thriller,GENRE_OF,Curse of Chucky
Timeline,HAS_GENRE,Action
Action,GENRE_OF,Timeline
Timeline,HAS_GENRE,Adventure
Adventure,GENRE_OF,Timeline
Timeline,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,Timeline
Timeline,HAS_CAST,Paul Walker
Paul Walker,CAST_IN,Timeline
Timeline,HAS_CAST,Gerard Butler
Gerard Butler,CAST_IN,Timeline
Picnic at Hanging Rock,HAS_GENRE,Drama
Drama,GENRE_OF,Picnic at Hanging Rock
Picnic at Hanging Rock,HAS_GENRE,Mystery
Mystery,GENRE_OF,Picnic at Hanging Rock
Epic Movie,HAS_GENRE,Comedy
Comedy,GENRE_OF,Epic Movie
Epic Movie,HAS_GENRE,Action
Action,GENRE_OF,Epic Movie
Epic Movie,HAS_GENRE,Adventure
Adventure,GENRE_OF,Epic Movie
Homeward Bound,HAS_GENRE,Adventure
Adventure,GENRE_OF,Homeward Bound
Homeward Bound,HAS_GENRE,Drama
Drama,GENRE_OF,Homeward Bound
Homeward Bound,HAS_GENRE,Romance
Romance,GENRE_OF,Homeward Bound
White Men Can't Jump,HAS_GENRE,Comedy
Comedy,GENRE_OF,White Men Can't Jump
White Men Can't Jump,HAS_GENRE,Drama
Drama,GENRE_OF,White Men Can't Jump
White Men Can't Jump,HAS_CAST,Wesley Snipes
Wesley Snipes,CAST_IN,White Men Can't Jump
White Men Can't Jump,HAS_CAST,Woody Harrelson
Woody Harrelson,CAST_IN,White Men Can't Jump
These Final Hours,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,These Final Hours
These Final Hours,HAS_GENRE,Drama
Drama,GENRE_OF,These Final Hours
These Final Hours,HAS_GENRE,Thriller
Thriller,GENRE_OF,These Final Hours
Fast 8,HAS_GENRE,Comedy
Comedy,GENRE_OF,Fast 8
Herbie: Fully Loaded,HAS_GENRE,Comedy
Comedy,GENRE_OF,Herbie: Fully Loaded
Herbie: Fully Loaded,HAS_GENRE,Family
Family,GENRE_OF,Herbie: Fully Loaded
Herbie: Fully Loaded,HAS_GENRE,Adventure
Adventure,GENRE_OF,Herbie: Fully Loaded
Herbie: Fully Loaded,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,Herbie: Fully Loaded
Herbie: Fully Loaded,HAS_GENRE,Romance
Romance,GENRE_OF,Herbie: Fully Loaded
Herbie: Fully Loaded,HAS_CAST,Lindsay Lohan
Lindsay Lohan,CAST_IN,Herbie: Fully Loaded
Herbie: Fully Loaded,HAS_CAST,Michael Keaton
Michael Keaton,CAST_IN,Herbie: Fully Loaded
Herbie: Fully Loaded,HAS_CAST,Matt Dillon
Matt Dillon,CAST_IN,Herbie: Fully Loaded
Herbie: Fully Loaded,HAS_CAST,Justin Long
Justin Long,CAST_IN,Herbie: Fully Loaded
Baby's Day Out,HAS_GENRE,Family
Family,GENRE_OF,Baby's Day Out
Baby's Day Out,HAS_GENRE,Comedy
Comedy,GENRE_OF,Baby's Day Out
Baby's Day Out,HAS_GENRE,Adventure
Adventure,GENRE_OF,Baby's Day Out
Baby's Day Out,HAS_GENRE,Crime
Crime,GENRE_OF,Baby's Day Out
Baby's Day Out,HAS_GENRE,Drama
Drama,GENRE_OF,Baby's Day Out
Forever Young,HAS_GENRE,Adventure
Adventure,GENRE_OF,Forever Young
Forever Young,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,Forever Young
Forever Young,HAS_GENRE,Drama
Drama,GENRE_OF,Forever Young
Forever Young,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,Forever Young
Forever Young,HAS_GENRE,Romance
Romance,GENRE_OF,Forever Young
Forever Young,HAS_CAST,Mel Gibson
Mel Gibson,CAST_IN,Forever Young
Forever Young,HAS_CAST,Jamie Lee Curtis
Jamie Lee Curtis,CAST_IN,Forever Young
Spider,HAS_GENRE,Drama
Drama,GENRE_OF,Spider
Spider,HAS_GENRE,Comedy
Comedy,GENRE_OF,Spider
Spider,HAS_GENRE,Action
Action,GENRE_OF,Spider
Fat Man and Little Boy,HAS_GENRE,Drama
Drama,GENRE_OF,Fat Man and Little Boy
Fat Man and Little Boy,HAS_GENRE,History
History,GENRE_OF,Fat Man and Little Boy
Fat Man and Little Boy,HAS_GENRE,War
War,GENRE_OF,Fat Man and Little Boy
Fat Man and Little Boy,HAS_CAST,Paul Newman
Paul Newman,CAST_IN,Fat Man and Little Boy
Fat Man and Little Boy,HAS_CAST,John Cusack
John Cusack,CAST_IN,Fat Man and Little Boy
Hard Boiled,HAS_GENRE,Action
Action,GENRE_OF,Hard Boiled
Hard Boiled,HAS_GENRE,Thriller
Thriller,GENRE_OF,Hard Boiled
Hard Boiled,HAS_GENRE,Crime
Crime,GENRE_OF,Hard Boiled
Hard Boiled,HAS_DIRECTOR,John Woo
John Woo,DIRECTED,Hard Boiled
The Eye,HAS_GENRE,Drama
Drama,GENRE_OF,The Eye
The Eye,HAS_GENRE,Horror
Horror,GENRE_OF,The Eye
The Eye,HAS_GENRE,Thriller
Thriller,GENRE_OF,The Eye
The Eye,HAS_CAST,Jessica Alba
Jessica Alba,CAST_IN,The Eye
List of accolades received by Gone Girl,HAS_GENRE,misc
misc,GENRE_OF,List of accolades received by Gone Girl
Like Water for Chocolate,HAS_GENRE,Drama
Drama,GENRE_OF,Like Water for Chocolate
Like Water for Chocolate,HAS_GENRE,Romance
Romance,GENRE_OF,Like Water for Chocolate
Urban Legend,HAS_GENRE,Horror
Horror,GENRE_OF,Urban Legend
Urban Legend,HAS_GENRE,Mystery
Mystery,GENRE_OF,Urban Legend
Urban Legend,HAS_CAST,Jared Leto
Jared Leto,CAST_IN,Urban Legend
Dr. Strangelove,HAS_GENRE,Comedy
Comedy,GENRE_OF,Dr. Strangelove
Dr. Strangelove,HAS_GENRE,War
War,GENRE_OF,Dr. Strangelove
Dr. Strangelove,HAS_CAST,Peter Sellers
Peter Sellers,CAST_IN,Dr. Strangelove
Dr. Strangelove,HAS_DIRECTOR,Stanley Kubrick
Stanley Kubrick,DIRECTED,Dr. Strangelove
Concussion,HAS_GENRE,Drama
Drama,GENRE_OF,Concussion
Concussion,HAS_CAST,Will Smith
Will Smith,CAST_IN,Concussion
Concussion,HAS_CAST,Alec Baldwin
Alec Baldwin,CAST_IN,Concussion
Concussion,HAS_CAST,Albert Brooks
Albert Brooks,CAST_IN,Concussion
Breathe,HAS_GENRE,Crime
Crime,GENRE_OF,Breathe
Breathe,HAS_GENRE,Drama
Drama,GENRE_OF,Breathe
Appleseed Ex Machina,HAS_GENRE,Animation
Animation,GENRE_OF,Appleseed Ex Machina
Appleseed Ex Machina,HAS_GENRE,Action
Action,GENRE_OF,Appleseed Ex Machina
Appleseed Ex Machina,HAS_GENRE,Thriller
Thriller,GENRE_OF,Appleseed Ex Machina
Appleseed Ex Machina,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,Appleseed Ex Machina
Shaolin Temple,HAS_GENRE,Action
Action,GENRE_OF,Shaolin Temple
Shaolin Temple,HAS_GENRE,Adventure
Adventure,GENRE_OF,Shaolin Temple
Cheaper by the Dozen,HAS_GENRE,Comedy
Comedy,GENRE_OF,Cheaper by the Dozen
Cheaper by the Dozen,HAS_GENRE,Family
Family,GENRE_OF,Cheaper by the Dozen
Cheaper by the Dozen,HAS_CAST,Steve Martin
Steve Martin,CAST_IN,Cheaper by the Dozen
Cheaper by the Dozen,HAS_CAST,Hilary Duff
Hilary Duff,CAST_IN,Cheaper by the Dozen
Windy City Heat,HAS_GENRE,Comedy
Comedy,GENRE_OF,Windy City Heat
Windy City Heat,HAS_CAST,Perry Caravello
Perry Caravello,CAST_IN,Windy City Heat
Windy City Heat,HAS_CAST,Dane Cook
Dane Cook,CAST_IN,Windy City Heat
Windy City Heat,HAS_WRITER,Jimmy Kimmel
Jimmy Kimmel,WROTE,Windy City Heat
Dog Days,HAS_GENRE,Drama
Drama,GENRE_OF,Dog Days
Dog Days,HAS_GENRE,Comedy
Comedy,GENRE_OF,Dog Days
Dead Silence,HAS_GENRE,Horror
Horror,GENRE_OF,Dead Silence
Dead Silence,HAS_DIRECTOR,James Wan
James Wan,DIRECTED,Dead Silence
Dead Silence,HAS_WRITER,James Wan
James Wan,WROTE,Dead Silence
Your Sister's Sister,HAS_GENRE,Comedy
Comedy,GENRE_OF,Your Sister's Sister
Your Sister's Sister,HAS_CAST,Emily Blunt
Emily Blunt,CAST_IN,Your Sister's Sister
City of Angels,HAS_GENRE,Romance
Romance,GENRE_OF,City of Angels
City of Angels,HAS_GENRE,Drama
Drama,GENRE_OF,City of Angels
City of Angels,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,City of Angels
City of Angels,HAS_CAST,Nicolas Cage
Nicolas Cage,CAST_IN,City of Angels
City of Angels,HAS_CAST,Meg Ryan
Meg Ryan,CAST_IN,City of Angels
Gosford Park,HAS_GENRE,Drama
Drama,GENRE_OF,Gosford Park
Gosford Park,HAS_GENRE,Mystery
Mystery,GENRE_OF,Gosford Park
Gosford Park,HAS_GENRE,Thriller
Thriller,GENRE_OF,Gosford Park
You Don't Mess with the Zohan,HAS_GENRE,Comedy
Comedy,GENRE_OF,You Don't Mess with the Zohan
You Don't Mess with the Zohan,HAS_GENRE,Action
Action,GENRE_OF,You Don't Mess with the Zohan
You Don't Mess with the Zohan,HAS_CAST,Adam Sandler
Adam Sandler,CAST_IN,You Don't Mess with the Zohan
You Don't Mess with the Zohan,HAS_CAST,Nick Swardson
Nick Swardson,CAST_IN,You Don't Mess with the Zohan
Cheech & Chong's Animated Movie,HAS_GENRE,Animation
Animation,GENRE_OF,Cheech & Chong's Animated Movie
Cheech & Chong's Animated Movie,HAS_GENRE,Comedy
Comedy,GENRE_OF,Cheech & Chong's Animated Movie
Beware! The Blob,HAS_GENRE,Comedy
Comedy,GENRE_OF,Beware! The Blob
Beware! The Blob,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,Beware! The Blob
Beware! The Blob,HAS_GENRE,Horror
Horror,GENRE_OF,Beware! The Blob
The Uncomfortable Camera,HAS_GENRE,misc
misc,GENRE_OF,The Uncomfortable Camera
Hook,HAS_GENRE,Adventure
Adventure,GENRE_OF,Hook
Hook,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,Hook
Hook,HAS_GENRE,Comedy
Comedy,GENRE_OF,Hook
Hook,HAS_GENRE,Family
Family,GENRE_OF,Hook
Hook,HAS_CAST,Dustin Hoffman
Dustin Hoffman,CAST_IN,Hook
Hook,HAS_CAST,Robin Williams
Robin Williams,CAST_IN,Hook
Hook,HAS_CAST,Julia Roberts
Julia Roberts,CAST_IN,Hook
Hook,HAS_CAST,Bob Hoskins
Bob Hoskins,CAST_IN,Hook
Hook,HAS_DIRECTOR,Steven Spielberg
Steven Spielberg,DIRECTED,Hook
Winter Passing,HAS_GENRE,Comedy
Comedy,GENRE_OF,Winter Passing
Winter Passing,HAS_GENRE,Drama
Drama,GENRE_OF,Winter Passing
Winter Passing,HAS_CAST,Zooey Deschanel
Zooey Deschanel,CAST_IN,Winter Passing
Winter Passing,HAS_CAST,Will Ferrell
Will Ferrell,CAST_IN,Winter Passing
Winter Passing,HAS_CAST,Ed Harris
Ed Harris,CAST_IN,Winter Passing
Little Giants,HAS_GENRE,Comedy
Comedy,GENRE_OF,Little Giants
Little Giants,HAS_GENRE,Family
Family,GENRE_OF,Little Giants
Little Giants,HAS_CAST,Rick Moranis
Rick Moranis,CAST_IN,Little Giants
Failure to Launch,HAS_GENRE,Comedy
Comedy,GENRE_OF,Failure to Launch
Failure to Launch,HAS_GENRE,Romance
Romance,GENRE_OF,Failure to Launch
Failure to Launch,HAS_CAST,Matthew McConaughey
Matthew McConaughey,CAST_IN,Failure to Launch
Failure to Launch,HAS_CAST,Zooey Deschanel
Zooey Deschanel,CAST_IN,Failure to Launch
Failure to Launch,HAS_CAST,Justin Bartha
Justin Bartha,CAST_IN,Failure to Launch
Failure to Launch,HAS_CAST,Bradley Cooper
Bradley Cooper,CAST_IN,Failure to Launch
Benji the Hunted,HAS_GENRE,Action
Action,GENRE_OF,Benji the Hunted
Benji the Hunted,HAS_GENRE,Adventure
Adventure,GENRE_OF,Benji the Hunted
Benji the Hunted,HAS_GENRE,Family
Family,GENRE_OF,Benji the Hunted
Father of the Bride Part II,HAS_GENRE,Comedy
Comedy,GENRE_OF,Father of the Bride Part II
Father of the Bride Part II,HAS_GENRE,Family
