SUBJECT,RELATION,OBJECT_PROPERTY
Cats & Dogs: The Revenge of Kitty Galore,HAS_CAST,Nick Nolte
Animation,GENRE_OF,Cats & Dogs: The Revenge of Kitty Galore
Cats & Dogs: The Revenge of Kitty Galore,HAS_GENRE,Animation
Action,GENRE_OF,Cats & Dogs: The Revenge of Kitty Galore
Cats & Dogs: The Revenge of Kitty Galore,HAS_GENRE,Action
Fantasy,GENRE_OF,Cats & Dogs: The Revenge of Kitty Galore
Cats & Dogs: The Revenge of Kitty Galore,HAS_GENRE,Fantasy
Comedy,GENRE_OF,Cats & Dogs: The Revenge of Kitty Galore
Cats & Dogs: The Revenge of Kitty Galore,HAS_GENRE,Comedy
Adventure,GENRE_OF,Cats & Dogs: The Revenge of Kitty Galore
Cats & Dogs: The Revenge of Kitty Galore,HAS_GENRE,Adventure
Family,GENRE_OF,Cats & Dogs: The Revenge of Kitty Galore
Cats & Dogs: The Revenge of Kitty Galore,HAS_GENRE,Family
Christopher Guest,CAST_IN,This Is Spinal Tap
This Is Spinal Tap,HAS_CAST,Christopher Guest
Comedy,GENRE_OF,This Is Spinal Tap
This Is Spinal Tap,HAS_GENRE,Comedy
Music,GENRE_OF,This Is Spinal Tap
This Is Spinal Tap,HAS_GENRE,Music
Peter Sellers,CAST_IN,The Return of the Pink Panther
The Return of the Pink Panther,HAS_CAST,Peter Sellers
Crime,GENRE_OF,The Return of the Pink Panther
The Return of the Pink Panther,HAS_GENRE,Crime
Comedy,GENRE_OF,The Return of the Pink Panther
The Return of the Pink Panther,HAS_GENRE,Comedy
Mystery,GENRE_OF,The Return of the Pink Panther
The Return of the Pink Panther,HAS_GENRE,Mystery
John Carpenter,DIRECTED,Escape from New York
Escape from New York,HAS_DIRECTOR,John Carpenter
Kurt Russell,CAST_IN,Escape from New York
Escape from New York,HAS_CAST,Kurt Russell
Action,GENRE_OF,Escape from New York
Escape from New York,HAS_GENRE,Action
Science Fiction,GENRE_OF,Escape from New York
Escape from New York,HAS_GENRE,Science Fiction
Mel Gibson,DIRECTED,The Man Without a Face
The Man Without a Face,HAS_DIRECTOR,Mel Gibson
Mel Gibson,CAST_IN,The Man Without a Face
The Man Without a Face,HAS_CAST,Mel Gibson
Drama,GENRE_OF,The Man Without a Face
The Man Without a Face,HAS_GENRE,Drama
Romance,GENRE_OF,Step Up 3D
Step Up 3D,HAS_GENRE,Romance
Drama,GENRE_OF,Step Up 3D
Step Up 3D,HAS_GENRE,Drama
Horror,GENRE_OF,Black Water
Black Water,HAS_GENRE,Horror
Drama,GENRE_OF,Black Water
Black Water,HAS_GENRE,Drama
Adventure,GENRE_OF,Black Water
Black Water,HAS_GENRE,Adventure
Christopher Nolan,WROTE,Interstellar
Interstellar,HAS_WRITER,Christopher Nolan
Christopher Nolan,DIRECTED,Interstellar
Interstellar,HAS_DIRECTOR,Christopher Nolan
Michael Caine,CAST_IN,Interstellar
Interstellar,HAS_CAST,Michael Caine
Anne Hathaway,CAST_IN,Interstellar
Interstellar,HAS_CAST,Anne Hathaway
Matthew McConaughey,CAST_IN,Interstellar
Interstellar,HAS_CAST,Matthew McConaughey
Science Fiction,GENRE_OF,Interstellar
Interstellar,HAS_GENRE,Science Fiction
Drama,GENRE_OF,Interstellar
Interstellar,HAS_GENRE,Drama
Adventure,GENRE_OF,Interstellar
Interstellar,HAS_GENRE,Adventure
Luke Wilson,CAST_IN,"Legally Blonde 2: Red, White & Blonde"
"Legally Blonde 2: Red, White & Blonde",HAS_CAST,Luke Wilson
Sally Field,CAST_IN,"Legally Blonde 2: Red, White & Blonde"
"Legally Blonde 2: Red, White & Blonde",HAS_CAST,Sally Field
Reese Witherspoon,CAST_IN,"Legally Blonde 2: Red, White & Blonde"
"Legally Blonde 2: Red, White & Blonde",HAS_CAST,Reese Witherspoon
Romance,GENRE_OF,"Legally Blonde 2: Red, White & Blonde"
"Legally Blonde 2: Red, White & Blonde",HAS_GENRE,Romance
Comedy,GENRE_OF,"Legally Blonde 2: Red, White & Blonde"
"Legally Blonde 2: Red, White & Blonde",HAS_GENRE,Comedy
John Huston,DIRECTED,Escape to Victory
Escape to Victory,HAS_DIRECTOR,John Huston
Michael Caine,CAST_IN,Escape to Victory
Escape to Victory,HAS_CAST,Michael Caine
Sylvester Stallone,CAST_IN,Escape to Victory
Escape to Victory,HAS_CAST,Sylvester Stallone
War,GENRE_OF,Escape to Victory
Escape to Victory,HAS_GENRE,War
Drama,GENRE_OF,Escape to Victory
Escape to Victory,HAS_GENRE,Drama
Guy Ritchie,DIRECTED,Sherlock Holmes
Sherlock Holmes,HAS_DIRECTOR,Guy Ritchie
Rachel McAdams,CAST_IN,Sherlock Holmes
Sherlock Holmes,HAS_CAST,Rachel McAdams
Jude Law,CAST_IN,Sherlock Holmes
Sherlock Holmes,HAS_CAST,Jude Law
Robert Downey Jr.,CAST_IN,Sherlock Holmes
Sherlock Holmes,HAS_CAST,Robert Downey Jr.
Crime,GENRE_OF,Sherlock Holmes
Sherlock Holmes,HAS_GENRE,Crime
Adventure,GENRE_OF,Sherlock Holmes
Sherlock Holmes,HAS_GENRE,Adventure
Action,GENRE_OF,Sherlock Holmes
Sherlock Holmes,HAS_GENRE,Action
Mystery,GENRE_OF,Sherlock Holmes
Sherlock Holmes,HAS_GENRE,Mystery
Drama,GENRE_OF,Sherlock Holmes
Sherlock Holmes,HAS_GENRE,Drama
Jamie Lee Curtis,CAST_IN,Halloween II
Halloween II,HAS_CAST,Jamie Lee Curtis
Thriller,GENRE_OF,Halloween II
Halloween II,HAS_GENRE,Thriller
Rob Zombie,WROTE,Halloween II
Halloween II,HAS_WRITER,Rob Zombie
Rob Zombie,DIRECTED,Halloween II
Halloween II,HAS_DIRECTOR,Rob Zombie
Horror,GENRE_OF,Halloween II
Halloween II,HAS_GENRE,Horror
Drama,GENRE_OF,If I Stay
If I Stay,HAS_GENRE,Drama
Thriller,GENRE_OF,Cujo
Cujo,HAS_GENRE,Thriller
Horror,GENRE_OF,Cujo
Cujo,HAS_GENRE,Horror
Fantasy,GENRE_OF,Batteries Not Included
Batteries Not Included,HAS_GENRE,Fantasy
Family,GENRE_OF,Batteries Not Included
Batteries Not Included,HAS_GENRE,Family
Comedy,GENRE_OF,Batteries Not Included
Batteries Not Included,HAS_GENRE,Comedy
Science Fiction,GENRE_OF,Batteries Not Included
Batteries Not Included,HAS_GENRE,Science Fiction
misc,GENRE_OF,The Day I Met El Chapo
The Day I Met El Chapo,HAS_GENRE,misc
Paula Patton,CAST_IN,2 Guns
2 Guns,HAS_CAST,Paula Patton
Mark Wahlberg,CAST_IN,2 Guns
2 Guns,HAS_CAST,Mark Wahlberg
Denzel Washington,CAST_IN,2 Guns
2 Guns,HAS_CAST,Denzel Washington
Crime,GENRE_OF,2 Guns
2 Guns,HAS_GENRE,Crime
Comedy,GENRE_OF,2 Guns
2 Guns,HAS_GENRE,Comedy
Action,GENRE_OF,2 Guns
2 Guns,HAS_GENRE,Action
Ally Sheedy,CAST_IN,WarGames
WarGames,HAS_CAST,Ally Sheedy
John Wood,CAST_IN,WarGames
WarGames,HAS_CAST,John Wood
Matthew Broderick,CAST_IN,WarGames
WarGames,HAS_CAST,Matthew Broderick
Drama,GENRE_OF,WarGames
WarGames,HAS_GENRE,Drama
Science Fiction,GENRE_OF,WarGames
WarGames,HAS_GENRE,Science Fiction
Thriller,GENRE_OF,WarGames
WarGames,HAS_GENRE,Thriller
Comedy,GENRE_OF,Holy Water
Holy Water,HAS_GENRE,Comedy
Katie Holmes,CAST_IN,Lucky Logan
Lucky Logan,HAS_CAST,Katie Holmes
Daniel Craig,CAST_IN,Lucky Logan
Lucky Logan,HAS_CAST,Daniel Craig
Adam Driver,CAST_IN,Lucky Logan
Lucky Logan,HAS_CAST,Adam Driver
Channing Tatum,CAST_IN,Lucky Logan
Lucky Logan,HAS_CAST,Channing Tatum
Drama,GENRE_OF,Lucky Logan
Lucky Logan,HAS_GENRE,Drama
Action,GENRE_OF,Lucky Logan
Lucky Logan,HAS_GENRE,Action
Crime,GENRE_OF,Lucky Logan
Lucky Logan,HAS_GENRE,Crime
Comedy,GENRE_OF,Lucky Logan
Lucky Logan,HAS_GENRE,Comedy
Drama,GENRE_OF,Turtles Can Fly
Turtles Can Fly,HAS_GENRE,Drama
Rob Zombie,WROTE,The Haunted World of El Superbeasto
The Haunted World of El Superbeasto,HAS_WRITER,Rob Zombie
Rob Zombie,DIRECTED,The Haunted World of El Superbeasto
The Haunted World of El Superbeasto,HAS_DIRECTOR,Rob Zombie
Ken Foree,CAST_IN,The Haunted World of El Superbeasto
The Haunted World of El Superbeasto,HAS_CAST,Ken Foree
Comedy,GENRE_OF,The Haunted World of El Superbeasto
The Haunted World of El Superbeasto,HAS_GENRE,Comedy
Action,GENRE_OF,The Haunted World of El Superbeasto
The Haunted World of El Superbeasto,HAS_GENRE,Action
Horror,GENRE_OF,The Haunted World of El Superbeasto
The Haunted World of El Superbeasto,HAS_GENRE,Horror
Animation,GENRE_OF,The Haunted World of El Superbeasto
The Haunted World of El Superbeasto,HAS_GENRE,Animation
Kevin Hart,WROTE,Kevin Hart: Let Me Explain
Kevin Hart: Let Me Explain,HAS_WRITER,Kevin Hart
Kevin Hart,CAST_IN,Kevin Hart: Let Me Explain
Kevin Hart: Let Me Explain,HAS_CAST,Kevin Hart
Documentary,GENRE_OF,Kevin Hart: Let Me Explain
Kevin Hart: Let Me Explain,HAS_GENRE,Documentary
Comedy,GENRE_OF,Kevin Hart: Let Me Explain
Kevin Hart: Let Me Explain,HAS_GENRE,Comedy
misc,GENRE_OF,Heathers
Heathers,HAS_GENRE,misc
Angela Lansbury,CAST_IN,The Grinch
The Grinch,HAS_CAST,Angela Lansbury
Rashida Jones,CAST_IN,The Grinch
The Grinch,HAS_CAST,Rashida Jones
Benedict Cumberbatch,CAST_IN,The Grinch
The Grinch,HAS_CAST,Benedict Cumberbatch
Fantasy,GENRE_OF,The Grinch
The Grinch,HAS_GENRE,Fantasy
Comedy,GENRE_OF,The Grinch
The Grinch,HAS_GENRE,Comedy
Family,GENRE_OF,The Grinch
The Grinch,HAS_GENRE,Family
Animation,GENRE_OF,The Grinch
The Grinch,HAS_GENRE,Animation
Thriller,GENRE_OF,House of Games
House of Games,HAS_GENRE,Thriller
Mystery,GENRE_OF,House of Games
House of Games,HAS_GENRE,Mystery
Drama,GENRE_OF,House of Games
House of Games,HAS_GENRE,Drama
Crime,GENRE_OF,House of Games
House of Games,HAS_GENRE,Crime
Thriller,GENRE_OF,Population 436
Population 436,HAS_GENRE,Thriller
Horror,GENRE_OF,Population 436
Population 436,HAS_GENRE,Horror
Comedy,GENRE_OF,Teen Beach Movie
Teen Beach Movie,HAS_GENRE,Comedy
TV Movie,GENRE_OF,Teen Beach Movie
Teen Beach Movie,HAS_GENRE,TV Movie
Music,GENRE_OF,Teen Beach Movie
Teen Beach Movie,HAS_GENRE,Music
Family,GENRE_OF,Teen Beach Movie
Teen Beach Movie,HAS_GENRE,Family
misc,GENRE_OF,The Entity
The Entity,HAS_GENRE,misc
Winona Ryder,CAST_IN,Mr. Deeds
Mr. Deeds,HAS_CAST,Winona Ryder
Adam Sandler,CAST_IN,Mr. Deeds
Mr. Deeds,HAS_CAST,Adam Sandler
Romance,GENRE_OF,Mr. Deeds
Mr. Deeds,HAS_GENRE,Romance
Comedy,GENRE_OF,Mr. Deeds
Mr. Deeds,HAS_GENRE,Comedy
Katie Holmes,CAST_IN,The Giver
The Giver,HAS_CAST,Katie Holmes
Meryl Streep,CAST_IN,The Giver
The Giver,HAS_CAST,Meryl Streep
Jeff Bridges,CAST_IN,The Giver
The Giver,HAS_CAST,Jeff Bridges
Science Fiction,GENRE_OF,The Giver
The Giver,HAS_GENRE,Science Fiction
Drama,GENRE_OF,The Giver
The Giver,HAS_GENRE,Drama
Thriller,GENRE_OF,Valentine
Valentine,HAS_GENRE,Thriller
Horror,GENRE_OF,Valentine
Valentine,HAS_GENRE,Horror
TV Movie,GENRE_OF,Gnomes
Gnomes,HAS_GENRE,TV Movie
Family,GENRE_OF,Gnomes
Gnomes,HAS_GENRE,Family
Fantasy,GENRE_OF,Gnomes
Gnomes,HAS_GENRE,Fantasy
Animation,GENRE_OF,Gnomes
Gnomes,HAS_GENRE,Animation
Lizzy Caplan,CAST_IN,Allied
Allied,HAS_CAST,Lizzy Caplan
Jared Harris,CAST_IN,Allied
Allied,HAS_CAST,Jared Harris
Brad Pitt,CAST_IN,Allied
Allied,HAS_CAST,Brad Pitt
Thriller,GENRE_OF,Allied
Allied,HAS_GENRE,Thriller
Romance,GENRE_OF,Allied
Allied,HAS_GENRE,Romance
War,GENRE_OF,Allied
Allied,HAS_GENRE,War
Drama,GENRE_OF,Allied
Allied,HAS_GENRE,Drama
Action,GENRE_OF,Allied
Allied,HAS_GENRE,Action
Comedy,GENRE_OF,Argo
Argo,HAS_GENRE,Comedy
Action,GENRE_OF,Argo
Argo,HAS_GENRE,Action
Ben Affleck,DIRECTED,Argo
Argo,HAS_DIRECTOR,Ben Affleck
John Goodman,CAST_IN,Argo
Argo,HAS_CAST,John Goodman
Alan Arkin,CAST_IN,Argo
Argo,HAS_CAST,Alan Arkin
Bryan Cranston,CAST_IN,Argo
Argo,HAS_CAST,Bryan Cranston
Ben Affleck,CAST_IN,Argo
Argo,HAS_CAST,Ben Affleck
Thriller,GENRE_OF,Argo
Argo,HAS_GENRE,Thriller
Drama,GENRE_OF,Argo
Argo,HAS_GENRE,Drama
Jason Bateman,CAST_IN,Break-Up
Break-Up,HAS_CAST,Jason Bateman
Joey Lauren Adams,CAST_IN,Break-Up
Break-Up,HAS_CAST,Joey Lauren Adams
Vince Vaughn,CAST_IN,Break-Up
Break-Up,HAS_CAST,Vince Vaughn
Jennifer Aniston,CAST_IN,Break-Up
Break-Up,HAS_CAST,Jennifer Aniston
Comedy,GENRE_OF,Break-Up
Break-Up,HAS_GENRE,Comedy
Romance,GENRE_OF,Break-Up
Break-Up,HAS_GENRE,Romance
Chris Columbus,DIRECTED,Percy Jackson
Percy Jackson,HAS_DIRECTOR,Chris Columbus
Pierce Brosnan,CAST_IN,Percy Jackson
Percy Jackson,HAS_CAST,Pierce Brosnan
Family,GENRE_OF,Percy Jackson
Percy Jackson,HAS_GENRE,Family
Fantasy,GENRE_OF,Percy Jackson
Percy Jackson,HAS_GENRE,Fantasy
Adventure,GENRE_OF,Percy Jackson
Percy Jackson,HAS_GENRE,Adventure
Fantasy,GENRE_OF,Ratatouille
Ratatouille,HAS_GENRE,Fantasy
Family,GENRE_OF,Ratatouille
Ratatouille,HAS_GENRE,Family
Comedy,GENRE_OF,Ratatouille
Ratatouille,HAS_GENRE,Comedy
Animation,GENRE_OF,Ratatouille
Ratatouille,HAS_GENRE,Animation
Alfred Hitchcock,DIRECTED,Psycho
Psycho,HAS_DIRECTOR,Alfred Hitchcock
Drama,GENRE_OF,Psycho
Psycho,HAS_GENRE,Drama
Julianne Moore,CAST_IN,Psycho
Psycho,HAS_CAST,Julianne Moore
Vince Vaughn,CAST_IN,Psycho
Psycho,HAS_CAST,Vince Vaughn
Horror,GENRE_OF,Psycho
Psycho,HAS_GENRE,Horror
Thriller,GENRE_OF,Psycho
Psycho,HAS_GENRE,Thriller
Mystery,GENRE_OF,Psycho
Psycho,HAS_GENRE,Mystery
Anne Hathaway,CAST_IN,Ocean's 8
Ocean's 8,HAS_CAST,Anne Hathaway
Cate Blanchett,CAST_IN,Ocean's 8
Ocean's 8,HAS_CAST,Cate Blanchett
Sandra Bullock,CAST_IN,Ocean's 8
Ocean's 8,HAS_CAST,Sandra Bullock
Action,GENRE_OF,Ocean's 8
Ocean's 8,HAS_GENRE,Action
Comedy,GENRE_OF,Ocean's 8
Ocean's 8,HAS_GENRE,Comedy
Crime,GENRE_OF,Ocean's 8
Ocean's 8,HAS_GENRE,Crime
Ben Foster,CAST_IN,Warcraft
Warcraft,HAS_CAST,Ben Foster
Paula Patton,CAST_IN,Warcraft
Warcraft,HAS_CAST,Paula Patton
Fantasy,GENRE_OF,Warcraft
Warcraft,HAS_GENRE,Fantasy
Adventure,GENRE_OF,Warcraft
Warcraft,HAS_GENRE,Adventure
Action,GENRE_OF,Warcraft
Warcraft,HAS_GENRE,Action
Patrick Stewart,CAST_IN,Star Trek Generations
Star Trek Generations,HAS_CAST,Patrick Stewart
Thriller,GENRE_OF,Star Trek Generations
Star Trek Generations,HAS_GENRE,Thriller
Adventure,GENRE_OF,Star Trek Generations
Star Trek Generations,HAS_GENRE,Adventure
Action,GENRE_OF,Star Trek Generations
Star Trek Generations,HAS_GENRE,Action
Science Fiction,GENRE_OF,Star Trek Generations
Star Trek Generations,HAS_GENRE,Science Fiction
Robert Townsend,DIRECTED,Hollywood Shuffle
Hollywood Shuffle,HAS_DIRECTOR,Robert Townsend
Robert Townsend,CAST_IN,Hollywood Shuffle
Hollywood Shuffle,HAS_CAST,Robert Townsend
Comedy,GENRE_OF,Hollywood Shuffle
Hollywood Shuffle,HAS_GENRE,Comedy
History,GENRE_OF,Coach Carter
Coach Carter,HAS_GENRE,History
Drama,GENRE_OF,Coach Carter
Coach Carter,HAS_GENRE,Drama
Ralph Fiennes,CAST_IN,The Reader
The Reader,HAS_CAST,Ralph Fiennes
Kate Winslet,CAST_IN,The Reader
The Reader,HAS_CAST,Kate Winslet
Romance,GENRE_OF,The Reader
The Reader,HAS_GENRE,Romance
Drama,GENRE_OF,The Reader
The Reader,HAS_GENRE,Drama
Christopher Nolan,WROTE,Dunkirk
Dunkirk,HAS_WRITER,Christopher Nolan
Christopher Nolan,DIRECTED,Dunkirk
Dunkirk,HAS_DIRECTOR,Christopher Nolan
Mark Rylance,CAST_IN,Dunkirk
Dunkirk,HAS_CAST,Mark Rylance
Tom Hardy,CAST_IN,Dunkirk
Dunkirk,HAS_CAST,Tom Hardy
Action,GENRE_OF,Dunkirk
Dunkirk,HAS_GENRE,Action
War,GENRE_OF,Dunkirk
Dunkirk,HAS_GENRE,War
Drama,GENRE_OF,Dunkirk
Dunkirk,HAS_GENRE,Drama
Clint Eastwood,CAST_IN,"The Good, the Bad and the Ugly"
"The Good, the Bad and the Ugly",HAS_CAST,Clint Eastwood
Western,GENRE_OF,"The Good, the Bad and the Ugly"
"The Good, the Bad and the Ugly",HAS_GENRE,Western
Drama,GENRE_OF,The Motorcycle Diaries
The Motorcycle Diaries,HAS_GENRE,Drama
Jake Johnson,CAST_IN,Safety Not Guaranteed
Safety Not Guaranteed,HAS_CAST,Jake Johnson
Aubrey Plaza,CAST_IN,Safety Not Guaranteed
Safety Not Guaranteed,HAS_CAST,Aubrey Plaza
Science Fiction,GENRE_OF,Safety Not Guaranteed
Safety Not Guaranteed,HAS_GENRE,Science Fiction
Romance,GENRE_OF,Safety Not Guaranteed
Safety Not Guaranteed,HAS_GENRE,Romance
Comedy,GENRE_OF,Safety Not Guaranteed
Safety Not Guaranteed,HAS_GENRE,Comedy
Simon Pegg,CAST_IN,Ice Age: Dawn of the Dinosaurs
Ice Age: Dawn of the Dinosaurs,HAS_CAST,Simon Pegg
Queen Latifah,CAST_IN,Ice Age: Dawn of the Dinosaurs
Ice Age: Dawn of the Dinosaurs,HAS_CAST,Queen Latifah
Ray Romano,CAST_IN,Ice Age: Dawn of the Dinosaurs
Ice Age: Dawn of the Dinosaurs,HAS_CAST,Ray Romano
Adventure,GENRE_OF,Ice Age: Dawn of the Dinosaurs
Ice Age: Dawn of the Dinosaurs,HAS_GENRE,Adventure
Family,GENRE_OF,Ice Age: Dawn of the Dinosaurs
Ice Age: Dawn of the Dinosaurs,HAS_GENRE,Family
Comedy,GENRE_OF,Ice Age: Dawn of the Dinosaurs
Ice Age: Dawn of the Dinosaurs,HAS_GENRE,Comedy
Animation,GENRE_OF,Ice Age: Dawn of the Dinosaurs
Ice Age: Dawn of the Dinosaurs,HAS_GENRE,Animation
Fantasy,GENRE_OF,Yellow Submarine
Yellow Submarine,HAS_GENRE,Fantasy
Comedy,GENRE_OF,Yellow Submarine
Yellow Submarine,HAS_GENRE,Comedy
Adventure,GENRE_OF,Yellow Submarine
Yellow Submarine,HAS_GENRE,Adventure
Animation,GENRE_OF,Yellow Submarine
Yellow Submarine,HAS_GENRE,Animation
Music,GENRE_OF,Yellow Submarine
Yellow Submarine,HAS_GENRE,Music
Will Smith,CAST_IN,"I, Robot"
"I, Robot",HAS_CAST,Will Smith
Science Fiction,GENRE_OF,"I, Robot"
"I, Robot",HAS_GENRE,Science Fiction
Action,GENRE_OF,"I, Robot"
"I, Robot",HAS_GENRE,Action
TV Movie,GENRE_OF,The Expendables
The Expendables,HAS_GENRE,TV Movie
misc,GENRE_OF,The Expendables
The Expendables,HAS_GENRE,misc
Sylvester Stallone,DIRECTED,The Expendables
The Expendables,HAS_DIRECTOR,Sylvester Stallone
Eric Roberts,CAST_IN,The Expendables
The Expendables,HAS_CAST,Eric Roberts
Jet Li,CAST_IN,The Expendables
The Expendables,HAS_CAST,Jet Li
Jason Statham,CAST_IN,The Expendables
The Expendables,HAS_CAST,Jason Statham
Sylvester Stallone,CAST_IN,The Expendables
The Expendables,HAS_CAST,Sylvester Stallone
Action,GENRE_OF,The Expendables
The Expendables,HAS_GENRE,Action
Adventure,GENRE_OF,The Expendables
The Expendables,HAS_GENRE,Adventure
Thriller,GENRE_OF,The Expendables
The Expendables,HAS_GENRE,Thriller
Morgan Freeman,CAST_IN,Born to Be Wild
Born to Be Wild,HAS_CAST,Morgan Freeman
Adventure,GENRE_OF,Born to Be Wild
Born to Be Wild,HAS_GENRE,Adventure
Documentary,GENRE_OF,Born to Be Wild
Born to Be Wild,HAS_GENRE,Documentary
Paul Walker,CAST_IN,Eight Below
Eight Below,HAS_CAST,Paul Walker
Family,GENRE_OF,Eight Below
Eight Below,HAS_GENRE,Family
Drama,GENRE_OF,Eight Below
Eight Below,HAS_GENRE,Drama
Adventure,GENRE_OF,Eight Below
Eight Below,HAS_GENRE,Adventure
Jack Nicholson,CAST_IN,Reds
Reds,HAS_CAST,Jack Nicholson
Diane Keaton,CAST_IN,Reds
Reds,HAS_CAST,Diane Keaton
Romance,GENRE_OF,Reds
Reds,HAS_GENRE,Romance
History,GENRE_OF,Reds
Reds,HAS_GENRE,History
Drama,GENRE_OF,Reds
Reds,HAS_GENRE,Drama
Drama,GENRE_OF,The Longest Yard
The Longest Yard,HAS_GENRE,Drama
Burt Reynolds,CAST_IN,The Longest Yard
The Longest Yard,HAS_CAST,Burt Reynolds
Chris Rock,CAST_IN,The Longest Yard
The Longest Yard,HAS_CAST,Chris Rock
Adam Sandler,CAST_IN,The Longest Yard
The Longest Yard,HAS_CAST,Adam Sandler
Comedy,GENRE_OF,The Longest Yard
The Longest Yard,HAS_GENRE,Comedy
Robert Redford,CAST_IN,Sneakers
Sneakers,HAS_CAST,Robert Redford
Drama,GENRE_OF,Sneakers
Sneakers,HAS_GENRE,Drama
Crime,GENRE_OF,Sneakers
Sneakers,HAS_GENRE,Crime
Comedy,GENRE_OF,Sneakers
Sneakers,HAS_GENRE,Comedy
misc,GENRE_OF,Altered Carbon
Altered Carbon,HAS_GENRE,misc
Sam Neill,CAST_IN,Jurassic Park III
Jurassic Park III,HAS_CAST,Sam Neill
Science Fiction,GENRE_OF,Jurassic Park III
Jurassic Park III,HAS_GENRE,Science Fiction
Thriller,GENRE_OF,Jurassic Park III
Jurassic Park III,HAS_GENRE,Thriller
Action,GENRE_OF,Jurassic Park III
Jurassic Park III,HAS_GENRE,Action
Adventure,GENRE_OF,Jurassic Park III
Jurassic Park III,HAS_GENRE,Adventure
Adventure,GENRE_OF,Grimm
Grimm,HAS_GENRE,Adventure
Comedy,GENRE_OF,Grimm
Grimm,HAS_GENRE,Comedy
Drama,GENRE_OF,Grimm
Grimm,HAS_GENRE,Drama
Horror,GENRE_OF,Paranormal Activity 4
Paranormal Activity 4,HAS_GENRE,Horror
Drama,GENRE_OF,Hollow
Hollow,HAS_GENRE,Drama
Horror,GENRE_OF,Hollow
Hollow,HAS_GENRE,Horror
Mystery,GENRE_OF,Hollow
Hollow,HAS_GENRE,Mystery
Documentary,GENRE_OF,Do You Believe in Magic
Do You Believe in Magic,HAS_GENRE,Documentary
Horror,GENRE_OF,Student Bodies
Student Bodies,HAS_GENRE,Horror
Comedy,GENRE_OF,Student Bodies
Student Bodies,HAS_GENRE,Comedy
Mystery,GENRE_OF,The Thin Man
The Thin Man,HAS_GENRE,Mystery
Crime,GENRE_OF,The Thin Man
The Thin Man,HAS_GENRE,Crime
Comedy,GENRE_OF,The Thin Man
The Thin Man,HAS_GENRE,Comedy
Adventure,GENRE_OF,Dragonslayer
Dragonslayer,HAS_GENRE,Adventure
Fantasy,GENRE_OF,Dragonslayer
Dragonslayer,HAS_GENRE,Fantasy
Science Fiction,GENRE_OF,Son of Flubber
Son of Flubber,HAS_GENRE,Science Fiction
Family,GENRE_OF,Son of Flubber
Son of Flubber,HAS_GENRE,Family
Comedy,GENRE_OF,Son of Flubber
Son of Flubber,HAS_GENRE,Comedy
