SUBJECT,RELATION,OBJECT_PROPERTY,SCORE
WarGames,HAS_GENRE,Drama,2
WarGames,HAS_GENRE,Science Fiction,2
WarGames,HAS_GENRE,Thriller,2
Holy Water,HAS_GENRE,Comedy,2
Lucky Logan,HAS_CAST,Katie Holmes,2
Lucky Logan,HAS_CAST,Daniel Craig,2
Lucky Logan,HAS_CAST,Adam Driver,2
Lucky Logan,HAS_CAST,Channing Tatum,2
Lucky Logan,HAS_GENRE,Drama,2
Lucky Logan,HAS_GENRE,Action,2
Lucky Logan,HAS_GENRE,Crime,2
Lucky Logan,HAS_GENRE,Comedy,2
Turtles Can Fly,HAS_GENRE,Drama,2
The Haunted World of El Superbeasto,HAS_WRITER,Rob Zombie,2
The Haunted World of El Superbeasto,HAS_DIRECTOR,Rob Zombie,2
The Haunted World of El Superbeasto,HAS_CAST,Ken Foree,2
The Haunted World of El Superbeasto,HAS_GENRE,Comedy,2
The Haunted World of El Superbeasto,HAS_GENRE,Action,2
The Haunted World of El Superbeasto,HAS_GENRE,Horror,2
The Haunted World of El Superbeasto,HAS_GENRE,Animation,2
Kevin Hart: Let Me Explain,HAS_WRITER,Kevin Hart,2
Kevin Hart: Let Me Explain,HAS_CAST,Kevin Hart,2
Kevin Hart: Let Me Explain,HAS_GENRE,Documentary,2
Kevin Hart: Let Me Explain,HAS_GENRE,Comedy,2
Heathers,HAS_GENRE,misc,0
The Grinch,HAS_CAST,Angela Lansbury,2
The Grinch,HAS_CAST,Rashida Jones,2
The Grinch,HAS_CAST,Benedict Cumberbatch,2
The Grinch,HAS_GENRE,Fantasy,2
The Grinch,HAS_GENRE,Comedy,2
The Grinch,HAS_GENRE,Family,2
The Grinch,HAS_GENRE,Animation,2
House of Games,HAS_GENRE,Thriller,2
House of Games,HAS_GENRE,Mystery,0
House of Games,HAS_GENRE,Drama,0
House of Games,HAS_GENRE,Crime,2
Population 436,HAS_GENRE,Thriller,2
Population 436,HAS_GENRE,Horror,2
Teen Beach Movie,HAS_GENRE,Comedy,2
Teen Beach Movie,HAS_GENRE,TV Movie,2
Teen Beach Movie,HAS_GENRE,Music,2
Teen Beach Movie,HAS_GENRE,Family,2
The Entity,HAS_GENRE,misc,0
Mr. Deeds,HAS_CAST,Winona Ryder,2
Mr. Deeds,HAS_CAST,Adam Sandler,2
Mr. Deeds,HAS_GENRE,Romance,2
Mr. Deeds,HAS_GENRE,Comedy,2
The Giver,HAS_CAST,Katie Holmes,2
The Giver,HAS_CAST,Meryl Streep,2
The Giver,HAS_CAST,Jeff Bridges,2
The Giver,HAS_GENRE,Science Fiction,2
The Giver,HAS_GENRE,Drama,2
Valentine,HAS_GENRE,Thriller,2
Valentine,HAS_GENRE,Horror,2
Gnomes,HAS_GENRE,TV Movie,2
Gnomes,HAS_GENRE,Family,2
Gnomes,HAS_GENRE,Fantasy,2
Gnomes,HAS_GENRE,Animation,2
Allied,HAS_CAST,Lizzy Caplan,2
Allied,HAS_CAST,Jared Harris,2
Allied,HAS_CAST,Brad Pitt,2
Allied,HAS_GENRE,Thriller,2
Allied,HAS_GENRE,Romance,2
Allied,HAS_GENRE,War,2
Allied,HAS_GENRE,Drama,2
Allied,HAS_GENRE,Action,2
Argo,HAS_GENRE,Comedy,0
Argo,HAS_GENRE,Action,0
Argo,HAS_DIRECTOR,Ben Affleck,2
Argo,HAS_CAST,John Goodman,2
Argo,HAS_CAST,Alan Arkin,2
Argo,HAS_CAST,Bryan Cranston,2
Argo,HAS_CAST,Ben Affleck,2
Argo,HAS_GENRE,Thriller,2
Argo,HAS_GENRE,Drama,2
Break-Up,HAS_CAST,Jason Bateman,2
Break-Up,HAS_CAST,Joey Lauren Adams,2
Break-Up,HAS_CAST,Vince Vaughn,2
Break-Up,HAS_CAST,Jennifer Aniston,2
Break-Up,HAS_GENRE,Comedy,2
Break-Up,HAS_GENRE,Romance,2
Percy Jackson,HAS_DIRECTOR,Chris Columbus,2
Percy Jackson,HAS_CAST,Pierce Brosnan,2
Percy Jackson,HAS_GENRE,Family,2
Percy Jackson,HAS_GENRE,Fantasy,2
Percy Jackson,HAS_GENRE,Adventure,2
Ratatouille,HAS_GENRE,Fantasy,2
Ratatouille,HAS_GENRE,Family,2
Ratatouille,HAS_GENRE,Comedy,2
Ratatouille,HAS_GENRE,Animation,2
Psycho,HAS_DIRECTOR,Alfred Hitchcock,2
Psycho,HAS_GENRE,Drama,0
Psycho,HAS_CAST,Julianne Moore,0
Psycho,HAS_CAST,Vince Vaughn,0
Psycho,HAS_GENRE,Horror,2
Psycho,HAS_GENRE,Thriller,2
Psycho,HAS_GENRE,Mystery,2
Ocean's 8,HAS_CAST,Anne Hathaway,2
Ocean's 8,HAS_CAST,Cate Blanchett,2
Ocean's 8,HAS_CAST,Sandra Bullock,2
Ocean's 8,HAS_GENRE,Action,2
Ocean's 8,HAS_GENRE,Comedy,2
Ocean's 8,HAS_GENRE,Crime,2
Warcraft,HAS_CAST,Ben Foster,2
Warcraft,HAS_CAST,Paula Patton,2
Warcraft,HAS_GENRE,Fantasy,2
Warcraft,HAS_GENRE,Adventure,2
Warcraft,HAS_GENRE,Action,2
Star Trek Generations,HAS_CAST,Patrick Stewart,2
Star Trek Generations,HAS_GENRE,Thriller,2
Star Trek Generations,HAS_GENRE,Adventure,2
Star Trek Generations,HAS_GENRE,Action,2
Star Trek Generations,HAS_GENRE,Science Fiction,2
Hollywood Shuffle,HAS_DIRECTOR,Robert Townsend,2
Hollywood Shuffle,HAS_CAST,Robert Townsend,2
Hollywood Shuffle,HAS_GENRE,Comedy,2
Coach Carter,HAS_GENRE,History,2
Coach Carter,HAS_GENRE,Drama,2
The Reader,HAS_CAST,Ralph Fiennes,2
The Reader,HAS_CAST,Kate Winslet,2
The Reader,HAS_GENRE,Romance,2
The Reader,HAS_GENRE,Drama,2
Dunkirk,HAS_WRITER,Christopher Nolan,2
Dunkirk,HAS_DIRECTOR,Christopher Nolan,2
Dunkirk,HAS_CAST,Mark Rylance,2
Dunkirk,HAS_CAST,Tom Hardy,2
Dunkirk,HAS_GENRE,Action,2
Dunkirk,HAS_GENRE,War,2
Dunkirk,HAS_GENRE,Drama,2
"The Good, the Bad and the Ugly",HAS_CAST,Clint Eastwood,2
"The Good, the Bad and the Ugly",HAS_GENRE,Western,2
The Motorcycle Diaries,HAS_GENRE,Drama,2
Safety Not Guaranteed,HAS_CAST,Jake Johnson,2
Safety Not Guaranteed,HAS_CAST,Aubrey Plaza,2
Safety Not Guaranteed,HAS_GENRE,Science Fiction,2
Safety Not Guaranteed,HAS_GENRE,Romance,2
Safety Not Guaranteed,HAS_GENRE,Comedy,2
Ice Age: Dawn of the Dinosaurs,HAS_CAST,Simon Pegg,2
Ice Age: Dawn of the Dinosaurs,HAS_CAST,Queen Latifah,2
Ice Age: Dawn of the Dinosaurs,HAS_CAST,Ray Romano,2
Ice Age: Dawn of the Dinosaurs,HAS_GENRE,Adventure,2
Ice Age: Dawn of the Dinosaurs,HAS_GENRE,Family,2
Ice Age: Dawn of the Dinosaurs,HAS_GENRE,Comedy,2
Ice Age: Dawn of the Dinosaurs,HAS_GENRE,Animation,2
Yellow Submarine,HAS_GENRE,Fantasy,2
Yellow Submarine,HAS_GENRE,Comedy,2
Yellow Submarine,HAS_GENRE,Adventure,2
Yellow Submarine,HAS_GENRE,Animation,2
Yellow Submarine,HAS_GENRE,Music,2
"I, Robot",HAS_CAST,Will Smith,2
"I, Robot",HAS_GENRE,Science Fiction,2
"I, Robot",HAS_GENRE,Action,2
The Expendables,HAS_GENRE,TV Movie,0
The Expendables,HAS_GENRE,misc,0
The Expendables,HAS_DIRECTOR,Sylvester Stallone,2
The Expendables,HAS_CAST,Eric Roberts,2
The Expendables,HAS_CAST,Jet Li,2
The Expendables,HAS_CAST,Jason Statham,2
The Expendables,HAS_CAST,Sylvester Stallone,2
The Expendables,HAS_GENRE,Action,2
The Expendables,HAS_GENRE,Adventure,2
The Expendables,HAS_GENRE,Thriller,2
Born to Be Wild,HAS_CAST,Morgan Freeman,0
Born to Be Wild,HAS_GENRE,Adventure,0
Born to Be Wild,HAS_GENRE,Documentary,0
Eight Below,HAS_CAST,Paul Walker,2
Eight Below,HAS_GENRE,Family,2
Eight Below,HAS_GENRE,Drama,2
Eight Below,HAS_GENRE,Adventure,2
Reds,HAS_CAST,Jack Nicholson,2
Reds,HAS_CAST,Diane Keaton,2
Reds,HAS_GENRE,Romance,2
Reds,HAS_GENRE,History,2
Reds,HAS_GENRE,Drama,2
The Longest Yard,HAS_GENRE,Drama,2
The Longest Yard,HAS_CAST,Burt Reynolds,2
The Longest Yard,HAS_CAST,Chris Rock,2
The Longest Yard,HAS_CAST,Adam Sandler,2
The Longest Yard,HAS_GENRE,Comedy,2
Sneakers,HAS_CAST,Robert Redford,2
Sneakers,HAS_GENRE,Drama,2
Sneakers,HAS_GENRE,Crime,2
Sneakers,HAS_GENRE,Comedy,2
Altered Carbon,HAS_GENRE,misc,0
Jurassic Park III,HAS_CAST,Sam Neill,2
Jurassic Park III,HAS_GENRE,Science Fiction,2
Jurassic Park III,HAS_GENRE,Thriller,2
Jurassic Park III,HAS_GENRE,Action,2
Jurassic Park III,HAS_GENRE,Adventure,2
Grimm,HAS_GENRE,Adventure,2
Grimm,HAS_GENRE,Comedy,2
Grimm,HAS_GENRE,Drama,2
Paranormal Activity 4,HAS_GENRE,Horror,2
Hollow,HAS_GENRE,Drama,0
Hollow,HAS_GENRE,Horror,2
Hollow,HAS_GENRE,Mystery,0
Do You Believe in Magic,HAS_GENRE,Documentary,2
Student Bodies,HAS_GENRE,Horror,2
Student Bodies,HAS_GENRE,Comedy,2
The Thin Man,HAS_GENRE,Mystery,2
The Thin Man,HAS_GENRE,Crime,2
The Thin Man,HAS_GENRE,Comedy,2
Dragonslayer,HAS_GENRE,Adventure,2
Dragonslayer,HAS_GENRE,Fantasy,2
Son of Flubber,HAS_GENRE,Science Fiction,2
Son of Flubber,HAS_GENRE,Family,2
Son of Flubber,HAS_GENRE,Comedy,2
Tokusou Sentai Dekaranger The Movie: Full Blast Action,HAS_GENRE,Crime,2
Tokusou Sentai Dekaranger The Movie: Full Blast Action,HAS_GENRE,Science Fiction,2
Tokusou Sentai Dekaranger The Movie: Full Blast Action,HAS_GENRE,Adventure,2
Tokusou Sentai Dekaranger The Movie: Full Blast Action,HAS_GENRE,Action,2
The Queen,HAS_CAST,Michael Sheen,2
The Queen,HAS_CAST,Helen Mirren,2
The Queen,HAS_GENRE,History,2
The Queen,HAS_GENRE,Horror,0
The Queen,HAS_GENRE,Fantasy,0
The Queen,HAS_GENRE,Drama,2
The River Wild,HAS_CAST,Kevin Bacon,2
The River Wild,HAS_CAST,Meryl Streep,2
The River Wild,HAS_GENRE,Thriller,2
The River Wild,HAS_GENRE,Adventure,2
Encounters of the Spooky Kind,HAS_GENRE,Horror,2
Encounters of the Spooky Kind,HAS_GENRE,Fantasy,2
Encounters of the Spooky Kind,HAS_GENRE,Comedy,2
Encounters of the Spooky Kind,HAS_GENRE,Action,2
Two for the Road,HAS_CAST,Audrey Hepburn,2
Two for the Road,HAS_GENRE,Romance,2
Two for the Road,HAS_GENRE,Drama,2
Two for the Road,HAS_GENRE,Comedy,2
Leprechaun 3,HAS_GENRE,Horror,2
Leprechaun 3,HAS_GENRE,Comedy,2
The Watch,HAS_CAST,Jonah Hill,2
The Watch,HAS_CAST,Vince Vaughn,2
The Watch,HAS_CAST,Ben Stiller,2
The Watch,HAS_GENRE,Science Fiction,2
The Watch,HAS_GENRE,Action,2
The Watch,HAS_GENRE,Comedy,2
The Patriots,HAS_CAST,Nancy Allen,0
The Patriots,HAS_GENRE,Crime,0
The Patriots,HAS_GENRE,Drama,2
Daddy Day Camp,HAS_CAST,Cuba Gooding Jr.,2
Daddy Day Camp,HAS_GENRE,Comedy,2
Daddy Day Camp,HAS_GENRE,Family,2
Look Who's Talking Now,HAS_CAST,Danny DeVito,2
Look Who's Talking Now,HAS_CAST,Diane Keaton,2
Look Who's Talking Now,HAS_CAST,John Travolta,2
Look Who's Talking Now,HAS_GENRE,Family,2
Look Who's Talking Now,HAS_GENRE,Comedy,2
Look Who's Talking Now,HAS_GENRE,Romance,2
Commando 2,HAS_GENRE,Thriller,2
Commando 2,HAS_GENRE,Action,2
The Hatching,HAS_GENRE,Thriller,0
The Hatching,HAS_GENRE,Crime,0
The Cobbler,HAS_CAST,Dustin Hoffman,2
The Cobbler,HAS_CAST,Steve Buscemi,2
The Cobbler,HAS_CAST,Adam Sandler,2
The Cobbler,HAS_GENRE,Drama,2
The Cobbler,HAS_GENRE,Comedy,2
The Cobbler,HAS_GENRE,Fantasy,2
Guardians of the Galaxy,HAS_CAST,Bradley Cooper,2
Guardians of the Galaxy,HAS_CAST,Vin Diesel,2
Guardians of the Galaxy,HAS_CAST,Chris Pratt,2
Guardians of the Galaxy,HAS_GENRE,Adventure,2
Guardians of the Galaxy,HAS_GENRE,Science Fiction,2
Guardians of the Galaxy,HAS_GENRE,Action,2
Knocked Up,HAS_DIRECTOR,Judd Apatow,2
Knocked Up,HAS_CAST,Leslie Mann,2
Knocked Up,HAS_CAST,Paul Rudd,2
Knocked Up,HAS_CAST,Katherine Heigl,2
Knocked Up,HAS_CAST,Seth Rogen,2
Knocked Up,HAS_GENRE,Drama,2
Knocked Up,HAS_GENRE,Romance,2
Knocked Up,HAS_GENRE,Comedy,2
Lone Wolf and Cub: Sword of Vengeance,HAS_GENRE,Action,2
Lone Wolf and Cub: Sword of Vengeance,HAS_GENRE,Drama,2
Happy Madison Productions,HAS_GENRE,misc,0
I Spit on Your Grave 2,HAS_GENRE,Crime,2
I Spit on Your Grave 2,HAS_GENRE,Horror,2
I Spit on Your Grave 2,HAS_GENRE,Thriller,2
Funny Face,HAS_CAST,Fred Astaire,2
Funny Face,HAS_CAST,Audrey Hepburn,2
Funny Face,HAS_GENRE,Music,2
Funny Face,HAS_GENRE,Romance,2
Funny Face,HAS_GENRE,Comedy,2
Annabelle,HAS_GENRE,Horror,2
Death at a Funeral,HAS_CAST,Peter Dinklage,2
Death at a Funeral,HAS_GENRE,Drama,2
Death at a Funeral,HAS_CAST,Regina Hall,0
Death at a Funeral,HAS_CAST,Martin Lawrence,0
Death at a Funeral,HAS_CAST,Chris Rock,0
Death at a Funeral,HAS_GENRE,Comedy,2
Head Above Water,HAS_CAST,Billy Zane,2
Head Above Water,HAS_CAST,Cameron Diaz,2
Head Above Water,HAS_GENRE,Thriller,2
Head Above Water,HAS_GENRE,Comedy,2
Daddy's Little Girls,HAS_WRITER,Tyler Perry,0
Daddy's Little Girls,HAS_DIRECTOR,Tyler Perry,2
Daddy's Little Girls,HAS_CAST,Idris Elba,2
Daddy's Little Girls,HAS_GENRE,Romance,2
Daddy's Little Girls,HAS_GENRE,Drama,2
Daddy's Little Girls,HAS_GENRE,Comedy,2
Super Troopers 2,HAS_GENRE,Mystery,2
Super Troopers 2,HAS_GENRE,Crime,2
Super Troopers 2,HAS_GENRE,Comedy,2
Prom Night,HAS_CAST,Jamie Lee Curtis,0
Prom Night,HAS_CAST,Leslie Nielsen,0
Prom Night,HAS_GENRE,Thriller,0
Prom Night,HAS_GENRE,Mystery,2
Prom Night,HAS_GENRE,Horror,2
Only the Brave,HAS_CAST,Jeff Bridges,2
Only the Brave,HAS_CAST,Miles Teller,2
Only the Brave,HAS_CAST,Josh Brolin,2
Only the Brave,HAS_GENRE,Action,2
Only the Brave,HAS_GENRE,Drama,2
The Cincinnati Kid,HAS_CAST,Steve McQueen,2
The Cincinnati Kid,HAS_GENRE,Drama,2
The Big Wedding,HAS_CAST,Susan Sarandon,2
The Big Wedding,HAS_CAST,Amanda Seyfried,2
The Big Wedding,HAS_CAST,Diane Keaton,2
The Big Wedding,HAS_CAST,Robert De Niro,2
The Big Wedding,HAS_GENRE,Comedy,2
Foul Play,HAS_GENRE,Drama,0
Foul Play,HAS_GENRE,Comedy,2
The Computer Wore Tennis Shoes,HAS_CAST,Kurt Russell,2
The Computer Wore Tennis Shoes,HAS_GENRE,Drama,2
The Computer Wore Tennis Shoes,HAS_GENRE,Family,2
The Computer Wore Tennis Shoes,HAS_GENRE,Comedy,2
The Magnificent Seven,HAS_CAST,Charles Bronson,0
The Magnificent Seven,HAS_CAST,Steve McQueen,0
The Magnificent Seven,HAS_CAST,Ethan Hawke,2
The Magnificent Seven,HAS_CAST,Chris Pratt,2
The Magnificent Seven,HAS_CAST,Denzel Washington,2
The Magnificent Seven,HAS_GENRE,Western,2
The Magnificent Seven,HAS_GENRE,Action,2
The Magnificent Seven,HAS_GENRE,Adventure,2
Kevin Hart: What Now%3F,HAS_GENRE,misc,0
Zombieland,HAS_CAST,Abigail Breslin,2
Zombieland,HAS_CAST,Emma Stone,2
Zombieland,HAS_CAST,Jesse Eisenberg,2
Zombieland,HAS_CAST,Woody Harrelson,2
Zombieland,HAS_GENRE,Horror,2
Zombieland,HAS_GENRE,Comedy,2
Indiana Jones,HAS_WRITER,James Mangold,0
Indiana Jones,HAS_DIRECTOR,James Mangold,0
Indiana Jones,HAS_CAST,Harrison Ford,2
Indiana Jones,HAS_GENRE,Action,2
Indiana Jones,HAS_GENRE,Adventure,2
The Dilemma,HAS_DIRECTOR,Ron Howard,2
The Dilemma,HAS_CAST,Queen Latifah,2
The Dilemma,HAS_CAST,Winona Ryder,2
The Dilemma,HAS_CAST,Kevin James,2
The Dilemma,HAS_CAST,Vince Vaughn,2
The Dilemma,HAS_GENRE,Drama,2
The Dilemma,HAS_GENRE,Comedy,2
Speed,HAS_CAST,Jeff Daniels,2
Speed,HAS_CAST,Sandra Bullock,2
Speed,HAS_CAST,Dennis Hopper,2
Speed,HAS_CAST,Keanu Reeves,2
Speed,HAS_GENRE,Crime,2
Speed,HAS_GENRE,Adventure,2
Speed,HAS_GENRE,Action,2
Speed,HAS_GENRE,Documentary,0
Little England,HAS_GENRE,Romance,2
Little England,HAS_GENRE,Drama,2
Men in Black,HAS_CAST,Will Smith,2
Men in Black,HAS_CAST,Tommy Lee Jones,2
Men in Black,HAS_GENRE,Science Fiction,2
Men in Black,HAS_GENRE,Adventure,2
Men in Black,HAS_GENRE,Action,2
Men in Black,HAS_GENRE,Comedy,2
The Fifth Seal,HAS_GENRE,War,2
The Fifth Seal,HAS_GENRE,Drama,2
The Bad News Bears,HAS_GENRE,Comedy,2
The Bad News Bears,HAS_GENRE,Family,2
Corpse Bride,HAS_DIRECTOR,Tim Burton,2
Corpse Bride,HAS_CAST,Emily Watson,2
Corpse Bride,HAS_CAST,Johnny Depp,2
Corpse Bride,HAS_GENRE,Animation,2
Corpse Bride,HAS_GENRE,Fantasy,2
Corpse Bride,HAS_GENRE,Romance,2
The Princess Diaries 2: Royal Engagement,HAS_CAST,Julie Andrews,2
The Princess Diaries 2: Royal Engagement,HAS_CAST,Anne Hathaway,2
The Princess Diaries 2: Royal Engagement,HAS_GENRE,Romance,2
The Princess Diaries 2: Royal Engagement,HAS_GENRE,Family,2
The Princess Diaries 2: Royal Engagement,HAS_GENRE,Drama,2
The Princess Diaries 2: Royal Engagement,HAS_GENRE,Comedy,2
The Lovers,HAS_GENRE,Fantasy,0
The Lovers,HAS_GENRE,Family,0
The Lovers,HAS_GENRE,Drama,0
The Lovers,HAS_CAST,Josh Hartnett,2
The Lovers,HAS_GENRE,Romance,2
The Lovers,HAS_GENRE,Science Fiction,2
The Lovers,HAS_GENRE,Adventure,2
The Lovers,HAS_GENRE,Action,2
Casting JonBenet,HAS_GENRE,Crime,2
Casting JonBenet,HAS_GENRE,Documentary,2
Nora,HAS_GENRE,Drama,2
2016: Obama's America,HAS_CAST,Barack Obama,2
2016: Obama's America,HAS_GENRE,Fantasy,2
2016: Obama's America,HAS_GENRE,Documentary,2
My Friend Dahmer,HAS_GENRE,Horror,2
My Friend Dahmer,HAS_GENRE,Crime,2
My Friend Dahmer,HAS_GENRE,Drama,2
My Friend Dahmer,HAS_GENRE,History,2
Ten Dead Men,HAS_GENRE,Thriller,2
Ten Dead Men,HAS_GENRE,Action,2
Pinocchio,HAS_GENRE,misc,0
Pinocchio,HAS_GENRE,Comedy,0
Pinocchio,HAS_GENRE,Fantasy,2
Pinocchio,HAS_GENRE,Adventure,0
Pinocchio,HAS_GENRE,Drama,0
Pinocchio,HAS_GENRE,Family,2
Pinocchio,HAS_GENRE,Animation,2
Days of Glory,HAS_CAST,Jamel Debbouze,0
Days of Glory,HAS_GENRE,War,2
Days of Glory,HAS_GENRE,History,0
Days of Glory,HAS_GENRE,Drama,2
Get Over It,HAS_CAST,Shane West,2
Get Over It,HAS_CAST,Ben Foster,2
Get Over It,HAS_GENRE,Romance,2
Get Over It,HAS_GENRE,Comedy,2
"Dirty Mary, Crazy Larry",HAS_GENRE,Comedy,2
"Dirty Mary, Crazy Larry",HAS_GENRE,Crime,2
"Dirty Mary, Crazy Larry",HAS_GENRE,Adventure,2
"Dirty Mary, Crazy Larry",HAS_GENRE,Action,2
Because of You,HAS_GENRE,Romance,2
Because of You,HAS_GENRE,Drama,2
Mansfield Park,HAS_GENRE,TV Movie,2
Mansfield Park,HAS_GENRE,Drama,2
Mansfield Park,HAS_GENRE,Romance,0
Hauling,HAS_GENRE,misc,0
Fatal Attraction,HAS_CAST,Michael Douglas,2
Fatal Attraction,HAS_GENRE,Thriller,2
Fatal Attraction,HAS_GENRE,Drama,2
Requiem,HAS_GENRE,misc,0
Hotel Artemis,HAS_CAST,Jeff Goldblum,2
Hotel Artemis,HAS_CAST,Jodie Foster,2
Hotel Artemis,HAS_GENRE,Action,2
Hotel Artemis,HAS_GENRE,Science Fiction,2
Hotel Artemis,HAS_GENRE,Thriller,2
Oliver & Company,HAS_GENRE,Family,2
Oliver & Company,HAS_GENRE,Comedy,2
Oliver & Company,HAS_GENRE,Animation,2
Hostage,HAS_CAST,Ben Foster,2
Hostage,HAS_CAST,Bruce Willis,2
Hostage,HAS_GENRE,Crime,2
Hostage,HAS_GENRE,Thriller,2
Hostage,HAS_GENRE,Action,2
Bowfinger,HAS_CAST,Eddie Murphy,2
Bowfinger,HAS_CAST,Steve Martin,2
Bowfinger,HAS_GENRE,Comedy,2
Lady and the Tramp II: Scamp's Adventure,HAS_GENRE,Adventure,2
